서울 기온(°C),서울 강수량(mm),서울 풍속(m/s),서울 풍향(16방위),서울 습도(%),서울 증기압(hPa),서울 이슬점온도(°C),서울 현지기압(hPa),서울 해면기압(hPa),서울 일조(hr),서울 일사(MJ/m2),서울 적설(cm),서울 시정(10m),서울 지면온도(°C),부산 기온(°C),부산 강수량(mm),부산 풍속(m/s),부산 풍향(16방위),부산 습도(%),부산 증기압(hPa),부산 이슬점온도(°C),부산 현지기압(hPa),부산 해면기압(hPa),부산 일조(hr),부산 일사(MJ/m2),부산 시정(10m),부산 지면온도(°C),소요시간,holiday_1,Korean_holiday_1,year,month,time,weekend_1
20.7,0.0,3.4,4.0,83.0,20.2,17.7,1003.1,1013.0,0.0,0.0,0.0,2000.0,17.7,21.4,0.0,2.2,4.0,74.0,18.8,16.5,1004.3,1012.3,0.0,0.0,5000.0,22.0,312.0,1,1,2022,9,0,0
20.7,0.0,2.2,4.0,86.0,20.9,18.2,1003.3,1013.2,0.0,0.0,0.0,2000.0,18.1,20.9,0.0,2.4,4.0,77.0,19.0,16.7,1004.5,1012.6,0.0,0.0,5000.0,21.7,0.0,1,1,2022,9,1,0
20.7,0.0,2.5,3.0,89.0,21.7,18.8,1003.3,1013.2,0.0,0.0,0.0,1871.0,18.2,20.5,0.0,2.9,4.0,76.0,18.3,16.1,1004.6,1012.7,0.0,0.0,5000.0,21.2,0.0,1,1,2022,9,2,0
20.5,0.0,1.9,3.0,91.0,21.8,18.9,1003.8,1013.8,0.0,0.0,0.0,1155.0,17.5,20.3,0.0,2.9,5.0,73.0,17.3,15.2,1005.2,1013.3,0.0,0.0,5000.0,20.9,0.0,1,1,2022,9,3,0
19.9,0.0,0.7,5.0,92.0,21.3,18.5,1004.0,1014.0,0.0,0.0,0.0,881.0,16.6,20.0,0.0,4.1,4.0,73.0,17.0,15.0,1005.3,1013.4,0.0,0.0,5000.0,20.5,0.0,1,1,2022,9,4,0
19.1,0.0,1.3,3.0,92.0,20.2,17.7,1004.6,1014.5,0.0,0.0,0.0,711.0,15.7,19.5,0.0,3.3,5.0,71.0,16.0,14.0,1005.6,1013.7,0.0,0.0,5000.0,20.2,0.0,1,1,2022,9,5,0
18.6,0.0,1.5,6.0,94.0,20.1,17.6,1005.3,1015.3,0.0,0.0,0.0,887.0,15.6,18.9,0.0,3.9,4.0,75.0,16.3,14.3,1006.4,1014.5,0.0,0.0,5000.0,20.0,0.0,1,1,2022,9,6,0
18.0,0.0,0.7,1.0,93.0,19.1,16.8,1006.2,1016.2,1.0,0.12,0.0,1992.0,15.6,19.6,0.0,1.3,3.0,63.0,14.3,12.3,1007.2,1015.3,0.0,0.08,5000.0,20.4,0.0,1,1,2022,9,7,0
19.3,0.0,1.2,0.0,89.0,19.9,17.4,1006.8,1016.8,2.0,0.74,0.0,2000.0,21.0,21.7,0.0,1.2,1.0,53.0,13.7,11.6,1007.6,1015.6,1.0,0.84,5000.0,22.6,0.0,1,1,2022,9,8,0
21.6,0.0,2.0,0.0,81.0,20.8,18.1,1007.2,1017.1,2.0,1.53,0.0,2000.0,27.6,23.9,0.0,1.2,2.0,47.0,13.8,11.8,1007.9,1015.9,2.0,1.63,5000.0,25.6,0.0,1,1,2022,9,9,0
23.6,0.0,1.3,2.0,66.0,19.1,16.8,1007.5,1017.3,2.0,2.09,0.0,2000.0,31.4,25.5,0.0,1.8,4.0,50.0,16.3,14.3,1008.0,1016.0,2.0,2.32,5000.0,27.5,0.0,1,1,2022,9,10,0
24.5,0.0,2.2,5.0,48.0,14.7,12.7,1007.6,1017.4,2.0,2.72,0.0,2000.0,34.6,27.0,0.0,1.6,0.0,52.0,18.4,16.2,1007.7,1015.6,2.0,2.87,5000.0,34.1,0.0,1,1,2022,9,11,0
25.9,0.0,2.5,3.0,36.0,11.9,9.6,1007.4,1017.2,2.0,3.15,0.0,2000.0,37.1,27.7,0.0,1.4,4.0,44.0,16.3,14.3,1007.3,1015.2,2.0,3.21,5000.0,36.7,0.0,1,1,2022,9,12,0
