일시,서울 기온(°C),서울 강수량(mm),서울 풍속(m/s),서울 풍향(16방위),서울 습도(%),서울 증기압(hPa),서울 이슬점온도(°C),서울 현지기압(hPa),서울 해면기압(hPa),서울 일조(hr),서울 일사(MJ/m2),서울 시정(10m),서울 지면온도(°C),부산 기온(°C),부산 강수량(mm),부산 풍속(m/s),부산 풍향(16방위),부산 습도(%),부산 증기압(hPa),부산 이슬점온도(°C),부산 현지기압(hPa),부산 해면기압(hPa),부산 일조(hr),부산 일사(MJ/m2),부산 시정(10m),부산 지면온도(°C)
2018-09-22 00:00,19.5,,1.1,250.0,81,18.3,16.1,1002.0,1011.9,,,2000,18.8,19.3,,3.9,340.0,94,21.0,18.3,1003.2,1011.2,,,2000,19.4
2018-09-22 01:00,19.5,,1.5,230.0,83,18.8,16.5,1002.0,1011.9,,,1459,18.9,19.3,,2.1,340.0,94,21.0,18.3,1003.5,1011.5,,,2000,19.5
2018-09-22 02:00,19.4,,0.0,0.0,85,19.1,16.8,1001.8,1011.7,,,1533,18.4,19.2,,4.8,360.0,92,20.4,17.8,1003.8,1011.9,,,2000,19.2
2018-09-22 03:00,18.8,,1.0,290.0,90,19.5,17.1,1002.3,1012.2,,,1191,17.7,19.3,,3.8,340.0,90,20.1,17.6,1004.3,1012.4,,,1924,19.0
2018-09-22 04:00,18.9,0.0,0.8,340.0,88,19.1,16.8,1002.2,1012.1,,,1226,18.9,19.3,,3.2,360.0,88,19.6,17.2,1004.5,1012.6,,,2000,18.5
2018-09-22 05:00,18.8,6.5,0.2,0.0,96,20.8,18.1,1002.3,1012.2,,,973,18.8,19.2,,3.1,340.0,90,20.0,17.5,1005.0,1013.1,,,2000,18.1
2018-09-22 06:00,18.4,,0.1,0.0,95,20.0,17.5,1002.8,1012.8,,,752,17.6,19.1,,3.3,340.0,89,19.6,17.2,1006.0,1014.1,,,2000,17.9
2018-09-22 07:00,18.1,,0.9,290.0,96,19.9,17.4,1003.7,1013.7,0.0,0.04,557,17.5,19.9,,4.4,340.0,85,19.6,17.2,1006.2,1014.3,0.2,0.12,2000,18.8
2018-09-22 08:00,18.2,,0.0,0.0,86,17.9,15.8,1004.1,1014.1,0.8,0.48,858,18.4,20.5,,5.0,340.0,84,20.1,17.6,1007.1,1015.2,0.5,0.6,2000,20.4
2018-09-22 09:00,19.7,,1.3,200.0,78,17.8,15.7,1004.5,1014.4,1.0,1.17,740,21.6,20.8,,2.3,340.0,82,20.1,17.6,1007.2,1015.3,0.7,0.98,1985,22.7
2018-09-22 10:00,21.8,,1.9,180.0,67,17.4,15.3,1004.7,1014.6,1.0,1.88,878,26.0,23.5,,0.7,320.0,66,19.0,16.7,1007.5,1015.5,1.0,2.04,2000,29.8
2018-09-22 11:00,22.7,,2.7,290.0,55,15.1,13.1,1005.0,1014.8,0.9,1.86,1297,25.2,24.6,,2.7,360.0,68,20.9,18.2,1007.6,1015.5,1.0,2.67,1990,32.5
2018-09-22 12:00,24.2,,2.2,250.0,43,12.9,10.8,1004.7,1014.5,1.0,2.31,1798,29.6,25.9,,1.3,360.0,64,21.3,18.5,1007.3,1015.2,1.0,2.87,2000,35.3
2018-09-22 13:00,24.9,,3.9,270.0,32,10.0,7.0,1004.7,1014.5,1.0,2.57,2000,29.6,26.7,,2.2,340.0,58,20.2,17.7,1006.7,1014.6,1.0,2.86,1999,36.4
2018-09-22 14:00,25.2,,4.4,290.0,28,8.9,5.3,1004.4,1014.2,1.0,2.76,2000,29.3,26.6,,2.9,360.0,57,19.7,17.3,1006.1,1014.0,1.0,2.44,1886,35.1
2018-09-22 15:00,25.4,,3.8,270.0,32,10.3,7.4,1004.2,1014.0,1.0,2.42,1980,28.7,27.2,,3.6,250.0,57,20.5,17.9,1005.7,1013.6,1.0,2.48,1997,33.5
2018-09-22 16:00,25.3,,3.0,270.0,38,12.2,9.9,1004.2,1014.0,1.0,1.88,2000,27.3,25.9,,3.9,230.0,67,22.2,19.2,1005.8,1013.7,1.0,1.75,1979,28.6
2018-09-22 17:00,24.6,,3.6,270.0,35,10.8,8.1,1004.6,1014.3,1.0,1.2,1990,22.7,25.1,,4.3,250.0,64,20.4,17.8,1006.0,1014.0,0.8,0.9,1990,25.7
2018-09-22 18:00,23.2,,2.8,270.0,36,10.2,7.2,1004.9,1014.7,1.0,0.47,2000,19.1,23.8,,2.8,250.0,72,21.2,18.4,1006.7,1014.6,0.3,0.25,2000,24.0
2018-09-22 19:00,21.3,,2.8,290.0,43,10.9,8.2,1005.4,1015.3,0.1,0.02,2000,17.3,22.9,,2.6,200.0,74,20.6,18.0,1006.9,1014.9,0.0,0.0,2000,22.4
2018-09-22 20:00,20.4,,1.2,270.0,52,12.4,10.2,1005.9,1015.9,,,2000,17.0,22.3,,2.1,270.0,75,20.1,17.6,1007.5,1015.5,,,2000,22.0
2018-09-22 21:00,19.4,,0.8,290.0,55,12.4,10.1,1006.5,1016.4,,,2000,16.4,22.0,,0.9,250.0,77,20.2,17.7,1007.6,1015.6,,,1650,21.8
2018-09-22 22:00,18.6,,0.6,340.0,62,13.2,11.1,1006.6,1016.6,,,2000,15.9,21.7,,2.2,290.0,78,20.1,17.6,1007.9,1016.0,,,1741,21.3
2018-09-22 23:00,17.9,,1.0,320.0,66,13.5,11.4,1006.8,1016.8,,,2000,15.4,21.4,,1.9,290.0,75,19.0,16.7,1008.0,1016.1,,,1936,20.6
2018-09-23 00:00,17.2,,0.6,360.0,69,13.5,11.4,1006.5,1016.6,,,2000,15.1,20.9,,0.3,0.0,75,18.4,16.2,1008.1,1016.2,,,1988,19.8
2018-09-23 01:00,16.4,,0.1,0.0,66,12.3,10.0,1006.0,1016.1,,,2000,14.7,20.6,,0.0,0.0,76,18.4,16.2,1008.2,1016.3,,,1952,19.5
2018-09-23 02:00,16.0,,1.3,50.0,72,13.0,10.9,1006.1,1016.2,,,2000,14.7,20.4,,0.4,0.0,78,18.6,16.4,1008.3,1016.4,,,1705,18.8
2018-09-23 03:00,15.8,,0.8,50.0,70,12.5,10.3,1006.0,1016.2,,,2000,15.3,20.3,,1.0,360.0,72,17.0,15.0,1008.3,1016.4,,,1805,18.4
2018-09-23 04:00,16.2,,0.7,20.0,69,12.6,10.4,1006.2,1016.3,,,2000,16.0,20.2,,2.3,360.0,68,16.0,14.0,1008.4,1016.5,,,1960,18.3
2018-09-23 05:00,16.3,,0.8,90.0,67,12.4,10.1,1006.2,1016.3,,,2000,16.3,19.8,,1.3,360.0,73,16.8,14.8,1008.3,1016.4,,,1959,17.9
2018-09-23 06:00,16.5,0.0,1.2,50.0,73,13.7,11.6,1006.0,1016.1,,,2000,16.4,19.5,,1.1,70.0,73,16.5,14.5,1008.5,1016.6,,,1993,18.0
2018-09-23 07:00,16.5,0.0,0.4,0.0,74,13.8,11.8,1005.5,1015.6,0.0,0.0,2000,16.5,19.5,,0.0,0.0,74,16.7,14.7,1008.6,1016.7,0.0,0.07,1993,19.0
2018-09-23 08:00,17.0,,1.2,70.0,69,13.3,11.2,1005.4,1015.5,0.4,0.3,2000,16.9,20.2,,0.7,90.0,67,15.8,13.8,1008.9,1017.0,0.2,0.38,2000,20.4
2018-09-23 09:00,18.4,,1.0,70.0,59,12.4,10.2,1005.7,1015.7,0.6,0.86,1951,20.0,21.4,,0.3,0.0,61,15.5,13.5,1008.7,1016.8,1.0,0.79,2000,22.4
2018-09-23 10:00,19.3,,0.2,0.0,59,13.1,11.0,1006.3,1016.3,0.2,0.94,2000,21.5,23.4,,0.3,0.0,60,17.2,15.1,1008.8,1016.8,0.8,1.25,2000,25.7
2018-09-23 11:00,20.1,,3.0,320.0,57,13.4,11.3,1006.4,1016.4,0.2,1.29,1929,23.3,25.2,,0.9,110.0,59,18.9,16.6,1008.5,1016.5,0.7,1.65,1944,29.9
2018-09-23 12:00,20.8,,1.2,360.0,52,12.7,10.5,1006.2,1016.2,0.4,1.25,1984,23.5,25.4,,2.6,200.0,68,22.0,19.0,1008.2,1016.2,0.4,1.76,1864,29.6
2018-09-23 13:00,22.7,,1.4,180.0,44,12.1,9.8,1005.3,1015.1,0.6,1.77,1913,29.1,26.6,,4.6,200.0,67,23.2,19.9,1007.5,1015.4,0.8,2.45,1619,34.8
2018-09-23 14:00,24.2,,1.2,340.0,40,12.0,9.7,1004.3,1014.0,1.0,2.62,1953,30.6,26.3,,5.4,200.0,71,24.3,20.6,1006.8,1014.7,1.0,2.55,1559,34.1
2018-09-23 15:00,25.0,,2.2,270.0,28,8.8,5.2,1004.0,1013.8,1.0,2.39,2000,29.2,25.5,,5.3,200.0,68,22.1,19.1,1006.2,1014.1,1.0,2.41,1720,31.0
2018-09-23 16:00,24.6,,4.0,290.0,29,8.9,5.3,1004.1,1013.8,1.0,1.73,1988,26.2,25.2,,5.5,230.0,67,21.4,18.6,1005.8,1013.8,1.0,1.45,1890,27.1
2018-09-23 17:00,24.1,,2.4,250.0,41,12.3,10.0,1004.3,1014.1,1.0,1.17,2000,22.4,24.1,,6.6,250.0,66,19.7,17.3,1005.9,1013.8,0.0,0.55,1999,24.4
2018-09-23 18:00,22.3,,2.7,270.0,53,14.2,12.2,1004.6,1014.5,1.0,0.44,2000,19.3,23.6,,4.1,230.0,72,20.9,18.2,1006.0,1013.9,0.0,0.18,1968,23.0
2018-09-23 19:00,21.0,,2.9,270.0,54,13.4,11.3,1005.0,1014.9,0.0,0.01,2000,17.5,23.0,,2.9,250.0,70,19.6,17.2,1006.0,1014.0,0.0,0.0,1995,22.0
2018-09-23 20:00,20.2,,3.3,270.0,48,11.3,8.8,1005.8,1015.8,,,2000,16.4,22.5,,3.1,270.0,70,19.0,16.7,1006.7,1014.7,,,1998,21.3
2018-09-23 21:00,19.1,,2.1,270.0,38,8.4,4.4,1006.6,1016.6,,,2000,15.1,22.0,,3.0,270.0,72,19.0,16.7,1007.5,1015.5,,,1996,20.7
2018-09-23 22:00,18.5,,2.5,270.0,40,8.5,4.6,1007.0,1017.0,,,2000,14.3,21.7,,2.8,270.0,74,19.1,16.8,1007.7,1015.7,,,1986,20.1
2018-09-23 23:00,17.7,,1.1,250.0,45,9.1,5.6,1007.3,1017.4,,,2000,14.2,21.3,,1.7,270.0,74,18.6,16.4,1007.7,1015.8,,,1984,20.2
2018-09-24 00:00,17.2,,1.7,270.0,50,9.7,6.6,1007.5,1017.6,,,2000,14.0,20.9,,1.9,340.0,75,18.4,16.2,1008.0,1016.1,,,1803,19.3
2018-09-24 01:00,16.8,,2.0,270.0,53,10.1,7.1,1007.3,1017.4,,,2000,13.7,20.9,,3.5,20.0,53,13.0,10.9,1008.0,1016.1,,,2000,18.2
2018-09-24 02:00,16.1,,0.7,290.0,57,10.4,7.5,1007.7,1017.9,,,2000,13.4,20.7,,2.4,20.0,44,10.6,7.9,1008.3,1016.4,,,2000,17.3
2018-09-24 03:00,15.5,,0.3,0.0,63,11.0,8.4,1007.6,1017.8,,,2000,13.1,20.3,,2.8,20.0,41,9.7,6.6,1008.3,1016.4,,,2000,16.6
2018-09-24 04:00,14.9,,0.9,320.0,68,11.5,9.0,1007.5,1017.7,,,2000,12.7,20.2,,6.6,360.0,41,9.7,6.5,1008.3,1016.4,,,2000,16.1
2018-09-24 05:00,14.4,,0.3,0.0,66,10.8,8.1,1007.6,1017.8,,,2000,12.5,19.8,,7.3,360.0,42,9.7,6.5,1008.2,1016.3,,,2000,15.7
2018-09-24 06:00,14.3,,0.5,320.0,66,10.7,8.0,1008.0,1018.2,,,2000,12.3,19.6,,6.5,360.0,42,9.5,6.3,1008.7,1016.8,,,2000,15.4
2018-09-24 07:00,14.7,,2.1,340.0,61,10.2,7.2,1008.4,1018.6,0.0,0.02,2000,12.4,19.5,,2.0,360.0,42,9.5,6.2,1009.3,1017.4,0.0,0.03,2000,15.9
2018-09-24 08:00,15.4,,2.2,320.0,52,9.0,5.5,1008.9,1019.1,1.0,0.49,1985,12.9,19.5,,2.7,360.0,46,10.4,7.5,1009.5,1017.6,0.0,0.26,2000,17.6
2018-09-24 09:00,17.0,,2.1,320.0,43,8.3,4.3,1009.4,1019.5,1.0,1.36,1993,16.8,19.8,,5.7,360.0,49,11.2,8.7,1009.9,1018.0,0.0,0.62,2000,18.6
2018-09-24 10:00,18.5,,3.3,290.0,38,8.0,3.8,1010.0,1020.0,1.0,2.02,2000,20.9,20.6,,1.9,50.0,51,12.3,10.0,1010.5,1018.6,0.0,1.01,2000,22.1
2018-09-24 11:00,19.4,,4.1,290.0,31,7.0,1.8,1009.8,1019.8,1.0,2.55,1966,24.3,21.5,,2.5,20.0,53,13.6,11.5,1010.4,1018.5,0.0,1.51,2000,25.5
2018-09-24 12:00,20.3,,2.6,320.0,34,8.1,3.9,1009.4,1019.4,1.0,2.85,2000,27.5,21.9,,0.8,290.0,45,11.8,9.4,1010.5,1018.6,0.0,1.67,2000,26.3
